text,href
Quotes to Scrape,/
Login,/login
(about),/author/Albert-Einstein
change,/tag/change/page/1/
deep-thoughts,/tag/deep-thoughts/page/1/
thinking,/tag/thinking/page/1/
world,/tag/world/page/1/
(about),/author/J-K-Rowling
abilities,/tag/abilities/page/1/
choices,/tag/choices/page/1/
(about),/author/Albert-Einstein
inspirational,/tag/inspirational/page/1/
life,/tag/life/page/1/
live,/tag/live/page/1/
miracle,/tag/miracle/page/1/
miracles,/tag/miracles/page/1/
(about),/author/Jane-Austen
aliteracy,/tag/aliteracy/page/1/
books,/tag/books/page/1/
classic,/tag/classic/page/1/
humor,/tag/humor/page/1/
(about),/author/Marilyn-Monroe
be-yourself,/tag/be-yourself/page/1/
inspirational,/tag/inspirational/page/1/
(about),/author/Albert-Einstein
adulthood,/tag/adulthood/page/1/
success,/tag/success/page/1/
value,/tag/value/page/1/
(about),/author/Andre-Gide
life,/tag/life/page/1/
love,/tag/love/page/1/
(about),/author/Thomas-A-Edison
edison,/tag/edison/page/1/
failure,/tag/failure/page/1/
inspirational,/tag/inspirational/page/1/
paraphrased,/tag/paraphrased/page/1/
(about),/author/Eleanor-Roosevelt
misattributed-eleanor-roosevelt,/tag/misattributed-eleanor-roosevelt/page/1/
(about),/author/Steve-Martin
humor,/tag/humor/page/1/
obvious,/tag/obvious/page/1/
simile,/tag/simile/page/1/
Nextâ†’,/page/2/
love,/tag/love/
inspirational,/tag/inspirational/
life,/tag/life/
humor,/tag/humor/
books,/tag/books/
reading,/tag/reading/
friendship,/tag/friendship/
friends,/tag/friends/
truth,/tag/truth/
simile,/tag/simile/
GoodReads.com,https://www.goodreads.com/quotes
Zyte,https://www.zyte.com
